date_key,doc_type,filename,cba_tone,dollarization_intensity,forward_looking_ratio,raw_words,inflation_signal,amd_appreciation_signal,filtered_words
2021-06,IR,IR_2021_Q2.pdf,-0.013339,2.22312,0.264151,19741,-0.404204,-0.404204,4948
2021-08,MIN,MIN_2021_08.pdf,-0.008902,0.0,0.270833,1715,0.0,0.0,1011
2021-09,MIN,MIN_2021_09.pdf,0.001529,0.0,0.321429,1646,0.0,0.0,654
2021-09,IR,IR_2021_Q3.pdf,-0.00607,0.791766,0.307263,17113,-0.527844,0.0,3789
2021-11,MIN,MIN_2021_11.pdf,-0.001637,0.0,0.1875,1613,-1.636661,0.0,611
2021-12,MIN,MIN_2021_12.pdf,-0.006221,0.0,0.228571,1552,0.0,0.0,643
2021-12,IR,IR_2021_Q4.pdf,-0.014513,1.09529,0.076205,19178,-0.547645,0.273823,3652
2022-02,MIN,MIN_2022_02.pdf,-0.006502,0.0,0.222222,1463,0.0,0.0,769
2022-03,MIN,MIN_2022_03.pdf,-0.04502,0.0,0.216216,1737,-1.364256,0.0,733
2022-03,IR,IR_2022_Q1.pdf,-0.022922,0.777001,0.110014,23539,-0.3885,-0.19425,5148
2022-04,FSR,FSR_2021.pdf,-0.017504,1.96303,0.01995,23229,0.0,-0.163586,6113
2022-05,MIN,MIN_2022_05.pdf,-0.015682,0.0,0.214286,1602,0.0,1.206273,829
2022-06,MIN,MIN_2022_06.pdf,-0.023114,1.216545,0.219512,1703,0.0,3.649635,822
2022-06,IR,IR_2022_Q2.pdf,-0.017927,1.558846,0.100619,21081,-0.389712,0.779423,5132
2022-08,MIN,MIN_2022_08.pdf,-0.008973,0.997009,0.20339,1838,-0.997009,1.994018,1003
2022-09,MIN,MIN_2022_09.pdf,-0.017857,1.373626,0.166667,1592,0.0,4.120879,728
2022-09,IR,IR_2022_Q3.pdf,-0.017584,1.019368,0.066558,17723,-0.509684,1.019368,3924
2022-11,MIN,MIN_2022_11.pdf,-0.009634,3.853565,0.24,1609,-0.963391,1.926782,1038
2022-12,MIN,MIN_2022_12.pdf,-0.010767,4.037685,0.153846,1459,0.0,2.69179,743
2022-12,IR,IR_2022_Q4.pdf,-0.018445,2.635046,0.15311,15639,-0.527009,0.790514,3795
2023-01,MIN,MIN_2023_01.pdf,-0.015458,3.567182,0.210526,1447,0.0,1.189061,841
2023-03,IR,IR_2023_Q1.pdf,-0.019661,1.355932,0.078067,20301,-0.451977,1.355932,4425
2023-03,MIN,MIN_2023_03.pdf,-0.012077,1.207729,0.153846,1434,-1.207729,2.415459,828
2023-04,FSR,FSR_2022.pdf,-0.028805,1.574059,0.026385,23781,0.0,0.314812,6353
2023-05,MIN,MIN_2023_05.pdf,-0.014365,1.104972,0.25641,1662,0.0,3.314917,905
2023-06,IR,IR_2023_Q2.pdf,-0.026008,1.30039,0.05916,19167,-0.520156,0.780234,3845
2023-06,MIN,MIN_2023_06.pdf,-0.017297,1.081081,0.204545,1651,-1.081081,2.162162,925
2023-08,MIN,MIN_2023_08.pdf,-0.014113,1.008065,0.243902,1585,-1.008065,2.016129,992
2023-09,MIN,MIN_2023_09.pdf,-0.015403,1.184834,0.261905,1551,-1.184834,1.184834,844
2023-09,IR,IR_2023_Q3.pdf,-0.024221,2.661698,0.064695,16309,-0.53234,0.26617,3757
2023-10,MIN,MIN_2023_10.pdf,-0.014799,0.0,0.219512,1602,0.0,0.0,946
2023-12,IR,IR_2023_Q4.pdf,-0.028844,1.088435,0.053286,16144,0.0,1.088435,3675
2024-01,MIN,MIN_2024_01.pdf,-0.014583,0.0,0.204545,1658,0.0,0.0,960
2024-03,MIN,MIN_2024_03.pdf,-0.038199,0.0,0.159091,2136,-0.682128,0.0,1466
2024-03,IR,IR_2024_Q1.pdf,-0.022461,0.311964,0.174263,23693,-0.155982,-0.155982,6411
2024-04,MIN,MIN_2024_04.pdf,-0.036009,0.0,0.192982,2566,-0.590319,0.0,1694
2024-04,FSR,FSR_2023.pdf,-0.041079,2.533478,0.047486,24289,-0.180963,-0.904814,5526
2024-06,IR,IR_2024_Q2.pdf,-0.033106,0.145201,0.246429,23206,-0.145201,0.290402,6887
2024-06,MIN,MIN_2024_06.pdf,-0.0448,0.0,0.146341,1646,-0.8,0.0,1250
2024-07,MIN,MIN_2024_07.pdf,-0.034338,0.0,0.22,2037,0.0,0.0,1427
2024-09,IR,IR_2024_Q3.pdf,-0.031908,0.9431,0.242424,23198,-0.314367,0.314367,6362
2024-09,MIN,MIN_2024_09.pdf,-0.048557,0.0,0.231579,4040,-0.339559,0.0,2945
2024-10,MIN,MIN_2024_10.pdf,-0.04427,0.0,0.214286,4569,-0.313972,-0.313972,3185
2024-12,IR,IR_2024_Q4.pdf,-0.032311,0.164853,0.182306,20381,-0.164853,0.329707,6066
2024-12,MIN,MIN_2024_12.pdf,-0.04525,0.320924,0.232,4372,-0.320924,0.0,3116
2025-02,MIN,MIN_2025_02.pdf,-0.04079,0.0,0.242424,4566,-0.323729,0.0,3089
2025-03,IR,IR_2025_Q1.pdf,-0.039461,0.1665,0.147727,20692,-0.333,0.1665,6006
2025-03,MIN,MIN_2025_03.pdf,-0.045152,0.0,0.233766,4809,-0.606061,0.0,3300
2025-04,FSR,FSR_2024.pdf,-0.022876,2.784961,0.053156,19716,0.0,-0.198926,5027
2025-05,MIN,MIN_2025_05.pdf,-0.045616,0.0,0.25,4774,-0.64704,0.0,3091
2025-06,IR,IR_2025_Q2.pdf,-0.037351,0.367985,0.123944,21253,-0.183993,0.183993,5435
2025-06,MIN,MIN_2025_06.pdf,-0.046975,0.0,0.25,4442,-0.337952,0.0,2959
2025-08,MIN,MIN_2025_08.pdf,-0.040087,0.0,0.184466,3916,-0.728863,0.0,2744
2025-09,MIN,MIN_2025_09.pdf,-0.035213,0.0,0.195652,4567,-0.298418,0.0,3351
2025-09,IR,IR_2025_Q3.pdf,-0.038474,0.323311,0.201465,21221,-0.323311,0.161655,6186
2025-11,MIN,MIN_2025_11.pdf,-0.032612,0.296472,0.174603,4902,-0.296472,-0.296472,3373
2025-12,IR,IR_2025_Q4.pdf,-0.029116,0.314762,0.188172,22175,-0.157381,-0.157381,6354
2025-12,MIN,MIN_2025_12.pdf,-0.039269,0.29976,0.198473,5020,-0.29976,-0.29976,3336
